datetime,signal,close
2025-08-07 15:45:33.111860,HOLD,3836.15
2025-08-07 15:50:35.732081,HOLD,3832.23
2025-08-07 15:55:36.582334,HOLD,3836.83
2025-08-07 16:00:37.346614,HOLD,3838.62
2025-08-07 16:05:38.399151,HOLD,3836.74
2025-08-07 16:10:39.059958,HOLD,3841.26
2025-08-07 16:15:43.735840,HOLD,3833.75
2025-08-07 16:20:47.092182,HOLD,3828.03
2025-08-07 16:25:51.282597,HOLD,3828.59
2025-08-07 16:31:01.404836,HOLD,3834.28
2025-08-07 16:36:02.982021,HOLD,3835.19
2025-08-07 16:41:04.984095,HOLD,3829.00
2025-08-07 16:46:05.618561,HOLD,3808.12
2025-08-07 16:52:16.884940,HOLD,3800.81
2025-08-07 16:57:17.660183,HOLD,3816.95
2025-08-07 17:02:24.467305,HOLD,3818.99
2025-08-07 17:07:27.085591,HOLD,3813.53
2025-08-07 17:12:28.070705,HOLD,3812.38
2025-08-07 17:17:29.371322,HOLD,3819.10
2025-08-07 17:41:28.178554,HOLD,3821.79
2025-08-07 17:46:28.916156,HOLD,3828.27
2025-08-07 18:04:35.315088,HOLD,3826.22
2025-08-07 18:09:36.867103,HOLD,3825.56
2025-08-07 18:15:49.249201,HOLD,3818.76
2025-08-07 18:20:51.471226,HOLD,3814.29
2025-08-07 18:25:52.259843,HOLD,3814.78
2025-08-07 18:30:53.083377,HOLD,3822.14
2025-08-07 18:35:58.260742,HOLD,3819.64
2025-08-07 18:40:59.089144,HOLD,3820.03
2025-08-07 18:46:20.169553,HOLD,3817.62
2025-08-07 18:51:20.850881,HOLD,3819.46
2025-08-07 18:56:21.592085,HOLD,3823.42
2025-08-07 19:01:23.926552,HOLD,3829.39
2025-08-07 19:06:43.804404,HOLD,3824.20
2025-08-07 19:11:44.771738,HOLD,3828.51
2025-08-07 19:16:47.899139,HOLD,3832.25
2025-08-07 19:51:15.025707,HOLD,3868.43
2025-08-07 20:06:42.504707,HOLD,3862.53
2025-08-07 20:11:47.143873,HOLD,3857.31
2025-08-08 13:58:44.194997,HOLD,3993.97
2025-08-08 14:03:45.051266,HOLD,3999.95
2025-08-08 14:08:45.951390,HOLD,3995.68
2025-08-08 14:13:46.645777,HOLD,3969.22
2025-08-08 14:18:47.301365,HOLD,3951.99
2025-08-08 14:23:47.972081,HOLD,3960.98
2025-08-08 14:28:48.547302,HOLD,3966.68
2025-08-08 14:33:49.330675,HOLD,3958.22
2025-08-08 14:38:50.159064,HOLD,3951.85
2025-08-08 15:02:31.857807,HOLD,3985.63
2025-08-08 15:07:32.676862,HOLD,3967.75
2025-08-08 15:12:33.472284,HOLD,3958.67
2025-08-08 15:17:34.358932,HOLD,3955.97
2025-08-08 15:22:35.419188,HOLD,3958.37
2025-08-08 15:27:36.215351,HOLD,3961.31
2025-08-08 15:37:12.470381,HOLD,3958.54
2025-08-08 15:42:13.276722,HOLD,3933.50
2025-08-08 15:47:14.079863,HOLD,3934.89
2025-08-08 15:57:13.382859,HOLD,3951.32
2025-08-08 16:02:14.273277,HOLD,3957.52
2025-08-08 16:07:15.062236,HOLD,3961.30
2025-08-08 16:12:36.729486,HOLD,3963.07
2025-08-08 16:17:37.509476,HOLD,3954.52
2025-08-08 16:22:38.308129,HOLD,3966.24
2025-08-08 16:28:09.867478,HOLD,3973.64
2025-08-08 16:33:10.777243,HOLD,3960.57
2025-08-08 16:38:11.666994,HOLD,3971.01
2025-08-08 17:03:38.034084,HOLD,3971.02
2025-08-08 17:08:38.859118,HOLD,3986.13
2025-08-08 17:13:39.781345,HOLD,3984.14
